priority,name,v1_place_id,category,city_region,anchor_label,anchor_hook,why_it_matters,image_status,photo_wish,website,evidence_sources,path_membership,muse_connection,culture_forward_connection,events_connection,visitor_use,stakeholder_use,geo_role,open_questions,confidence
1,North Columbia Schoolhouse Cultural Center,north-columbia-schoolhouse-cultural-center-nevada-city,Galleries & Studios,Nevada City / Ridge,Rural culture anchor,"A schoolhouse-turned-cultural center that makes the Ridge visible as part of Nevada County's living cultural map.","This is one of the strongest evidence-backed anchors because it connects rural cultural identity, gathering, MUSE visual prominence, and Culture Forward listening-session context. It helps the map say culture is not only downtown venues; it lives in community places across the county.",real,"Exterior or gathering photo showing the schoolhouse as a living community venue.",https://www.northcolumbiaschoolhouse.org/,"CULTURAL-ANCHOR-SET-PROPOSAL; MUSE 2026 launch context; Culture Forward listening sessions; V1 places.json",Ridge / rural culture path candidate,"MUSE launch / Rural Is the New Cool context",Culture Forward listening-session site,TBD,"Understand Ridge culture; identify a meaningful rural destination.","Shows Eliza/Diane the anchor set is not just downtown convenience stops.",Ridge / rural culture,"Confirm exact NCAC source language and whether it belongs in first V1 route set.",High
2,The Center for the Arts,the-center-for-the-arts-grass-valley,Performing Arts,Grass Valley,Grass Valley performance anchor,"Grass Valley's major arts venue gives the map an immediate reason to plan around performance, touring artists, and community programs.","This is the strongest Grass Valley performance anchor and already appears in V1 paths. It is useful for public discovery and strong for stakeholder proof.",needs-photo,"Real exterior, lobby, or performance photo; ideally active but not generic.",https://thecenterforthearts.org/,"CULTURAL-ANCHOR-SET-PROPOSAL; Culture Forward listening session; MUSE launch party; current V1 anchor",Living Like a Local; Evening Arts Night,"MUSE 2025 launch / Be Many and Be Loud context",Culture Forward listening-session site,TBD,"Find current arts programming in Grass Valley.","Shows major institutional arts infrastructure in the demo spine.",Grass Valley,"Check duplicate Center records before implementation.",High
3,North Star House,north-star-house-grass-valley,Historic Places,Grass Valley,Historic design anchor,"Julia Morgan's North Star House connects architecture, mining history, landscape, and cultural memory.","This anchor expands the map beyond performance and galleries into design legacy. It has strong MUSE/story value and a real image already.",real,"Exterior architectural photo; preserve historic/design character.",https://www.northstarhouse.org/,"CULTURAL-ANCHOR-SET-PROPOSAL; MUSE Julia Morgan article; V1 places.json",Design / heritage path candidate,"Architect Julia Morgan's Legacy in Nevada County",TBD,TBD,"Explore historic architecture and Gold Country design legacy.","Gives Diane/Eliza a culturally specific story anchor with strong editorial potential.",Grass Valley / heritage,"Decide whether heritage/design anchors belong beside active arts venues.",High
4,Nevada City Winery,nevada-city-winery-nevada-city,"Eat, Drink & Stay",Nevada City,Literary gathering anchor,"A walkable tasting room that doubles as a cultural landing place for open mics, literature, and evening routes.","This was previously framed as a gathering stop; the stronger rationale is its MUSE/open-mic connection. It helps show culture happens in informal community spaces too.",real,"Warm interior/event photo if available; current real image may be enough.",https://www.ncwinery.com/,"CULTURAL-ANCHOR-SET-PROPOSAL; MUSE Be Many and Be Loud; current V1 anchor",Living Like a Local,"Be Many and Be Loud",TBD,TBD,"End a cultural walk somewhere social and local.","Shows the map can connect cultural programming to informal gathering places.",Nevada City downtown,"Confirm whether winery should remain anchor or path stop only.",Medium-high
5,Empire Mine,empire-mine-grass-valley,Historic Places,Grass Valley,Cultural history anchor,"Empire Mine anchors the Gold Country story: extraction, labor, landscape, and the history that shaped local culture.","This is not an arts venue, but it may be essential if the map is also about cultural landscape and Gold Country identity. It grounds Culture Forward and MUSE corridor thinking in place.",real,"Historic site photo with landscape or structure; current real image may be enough.",,"CULTURAL-ANCHOR-SET-PROPOSAL; MUSE Cultural Corridors; V1 places.json",Cultural Corridors / heritage path candidate,"Our Cultural Corridors",TBD,TBD,"Understand the history beneath the county's cultural identity.","Tests whether Eliza/Diane accept cultural-history anchors, not only arts organizations.",Grass Valley / Gold Country history,"Needs website/source URL; decide if non-NCAC arts venue is acceptable.",Medium-high
6,Hirschman Trail / Hirschman's Pond,hirschman-s-pond-nevada-city,Historic Places,Nevada City,Art-in-nature anchor,"A landscape anchor for art, walking, stewardship, and the cultural meaning of outdoor places.","This is a good candidate if the map wants to show culture outdoors, not only inside venues. It is currently ambiguous because the V1 record may be Hirschman's Pond rather than Hirschman Trail.",needs-photo,"Trail, pond, or art-in-nature installation image; ideally tied to Off the Wall.",,"CULTURAL-ANCHOR-SET-PROPOSAL; MUSE Off the Wall: Art in Nature; V1 places.json",Art in Nature path candidate,"Off the Wall: Art in Nature",TBD,TBD,"Find culture in the landscape, not only in buildings.","Tests whether outdoor stewardship belongs in the anchor language.",Nevada City / outdoors,"Confirm exact place ID and whether current installation is active/current.",Medium
7,Nevada Theatre,nevada-theatre-nevada-city,Historic Places,Nevada City,Historic stage anchor,"A living theater landmark that makes Nevada City's cultural memory visible from the sidewalk.","This current anchor still belongs because it is recognizable, image-backed, and useful in evening/performance routes. Evidence is weaker than the top MUSE/Culture Forward anchors but the demo value is strong.",real,"Exterior marquee/stage photo; current real image likely enough.",http://nevadatheatre.com/,"CULTURAL-ANCHOR-SET-PROPOSAL; current V1 anchor; V1 places.json",Living Like a Local; Evening Arts Night,TBD,TBD,TBD,"Find a recognizable historic performance place.","Provides immediate cultural legibility in the Nevada City part of the demo.",Nevada City downtown,"Find stronger NCAC/MUSE source if it stays highly prominent.",Medium
8,Art Works Gallery,art-works-gallery-grass-valley,Galleries & Studios,Grass Valley,Gallery anchor,"A local-artist gallery that makes downtown Grass Valley feel hand-made rather than generic.","This restores a strong Grass Valley gallery anchor inside the narrower GV/NC prototype scope. It is less MUSE/Culture Forward-backed than the top anchors, but it gives the map a clearer gallery/studio layer.",needs-photo,"Real gallery interior or artwork wall; avoid logo or storefront-only if possible.",https://www.artworksgalleryco-op.com/,"CULTURAL-ANCHOR-SET-PROPOSAL; current V1 anchor; V1 places.json",Gallery & Studio Day,TBD,TBD,TBD,"Browse a public-facing local artist gallery.","Keeps gallery representation visible after removing Truckee/High Sierra candidates.",Grass Valley downtown,"Needs stronger NCAC/MUSE evidence if promoted above route-stop status.",Medium
9,ASiF Studios,asif-studios-grass-valley,Galleries & Studios,Grass Valley,Studio anchor,"A working studio community that shows the maker layer behind the gallery window.","This restores the working-studio side of Gallery & Studio Day. It helps the prototype show production and creative practice, not just polished venues.",needs-photo,"Studio/workshop/classroom image with tools or art-making context.",https://www.asifstudios.com/,"CULTURAL-ANCHOR-SET-PROPOSAL; current V1 anchor; V1 places.json",Gallery & Studio Day,TBD,TBD,TBD,"Discover a working creative studio community.","Shows Eliza/Diane the map can represent active making, not only presentation spaces.",Grass Valley,"Could remain route stop rather than top-level anchor if evidence stays thin.",Medium
10,The Curious Forge,the-curious-forge-nevada-city,Arts Organizations,Nevada City,Maker anchor,"A large creative workshop where classes, tools, and production make the route feel active.","This replaces Miners Foundry as the maker/civic-production anchor. It is stronger for hands-on creative infrastructure inside the GV/NC prototype scope and already has a real image.",real,"Workshop or tool/class image; current real image may be enough.",https://thecuriousforge.org/,"CULTURAL-ANCHOR-SET-PROPOSAL; current V1 anchor; V1 places.json",Gallery & Studio Day,TBD,TBD,TBD,"Find classes, tools, and maker activity.","Signals that culture includes making and learning, not only attending events.",Nevada City,"Confirm whether Curious Forge should replace Miners Foundry fully or sit beside it later.",Medium
